year,minute,hour,tweet,followed,day,favorited,month,second,microsecond,re-tweeted
b'2017',b'34',b'0',b'RT @reIatabIe: RT TO WIN: URBAN DECAY NAKED BUNDLE\n\n(must be following me &amp; @CIothesPorn to win) good luck https://t.co/dLipzJSnCk',b'True',b'28',b'False',b'11',b'57',b'13996',b'False'
b'2017',b'35',b'0',b'RT @CIothesPorn: RT TO WIN: fenty beauty foundation in your shade\n\n(Must be following me &amp; @reIatabIe to win) choosing in 15 mins https://t',b'True',b'28',b'False',b'11',b'8',b'139892',b'True'
